mots	semgram	lemfreq	surfreq	répartition
être	(verbe.)	14083		163
avoir		11552		163
de		10503		163
je		7905		162
il	(ou ils)	7515		160
ce	(pronom)	6846		163
la	(article)	5374		163
pas	(négation)	5308		158
à	(prépos.)	5236		163
et		5082		161
le	(article)	4957		163
on		4266		128
vous		4202		154
un	(article)	4188		162
ça	(pronom démonstratif)	3972		159
les	(article)	3815		162
que	(conj.)	3537		162
ne		3283		150
faire		3174		162
qui	(relatif)	3096		160
oui		2935		154
alors		2854		155
une	(article)	2780		163
mais		2768		159
des	(article indéfini)	2646		161
elle	(ou elles)	2462		134
en	(prépos.)	2405		161
dire		2391		160
y		2391		143
pour		2076		161
dans		2066		162
me		2014		152
se		1993		161
aller		1876		161
bien	(adv.)	1697		163
du		1658		154
tu		1536		105
en	(pronom-adv.)	1501		153
au		1490		161
là		1468		153
l'	(article le)	1465		158
comme		1452		153
voir		1439		153
non		1435		139
savoir		1432		150
nous		1386		141
puis		1384		136
ah		1373		139
l'	(article la)	1319		156
oh		1258		141
moi		1218		143
tout	(adj.)	1205		149
très		1189		141
que	(relatif)	1136		157
pouvoir	(verbe.)	1131		157
parce que		1126		148
avec		1087		152
lui		1066		128
falloir		1001		151
enfin		1001		142
par		965		153
quand		964		143
le	(pronom)	894		140
vouloir		881		146
petit		863		143
si	(conditionnel)	837		141
plus	(comparatif)	832		135
même		810		148
sur	(prépos.)	801		139
ce	(déterminatif)	705		142
ou	(conj.)	705		137
autre		695		145
deux		689		139
mon		675		133
ben		620		111
venir		613		136
prendre		608		143
tout	(pronom)	608		130
arriver		568		133
beaucoup		561		130
croire		555		135
heure		545		117
rien		541		124
jour		538		132
mettre		530		125
passer		483		136
un peu		481		120
chose		411		121
les	(pronom)	475		120
devoir	(verbe.)	472		124
l'	(pronom le)	458		102
aussi		454		126
encore		452		138
des	(de les)	452		95
trois		450		113
parler		447		118
hein		447		74
toujours		443		117
cette		439		130
trouver		439		123
quoi	(exclamatif)	437		85
ma		432		107
grand	(adj.)	428		118
temps		426		130
donner		426		128
après		425		120
fois		423		121
eh bien		417		104
te		413		86
an		407		111
son	(possessif)	407		103
où	(relatif)	406		131
sa		401		113
cent		397		92
comprendre		393		94
maintenant		391		125
bon	(adj.)	384		123
tout	(adv.)	381		110
quand même		368		97
chez		365		108
plus	(temporel)	355		117
moment		337		114
vingt		335		101
qu'est-ce que		328		115
que	(après comparaison)	328		106
la	(pronom)	328		105
comment		327		106
jamais		325		108
moins		322		106
quatre		322		105
connaître		316		107
monsieur	(messieurs)	316		92
ces		314		107
vraiment		314		101
dix		311		97
franc	(monnaie)	311		68
cinq		310		109
votre	(déterminatif)	306		86
partir		305		100
enfant		305		84
voilà		304		95
assez		302		107
madame	(mesdames)	299		70
demander		291		108
trop		286		109
d'ailleurs		283		98
tenir		281		106
maison		278		93
femme		275		74
peut-être		273		114
aimer		267		94
gens		265		87
mois		262		78
penser		258		102
là-bas		257		76
mille		257		70
quelque chose		255		105
soir		253		91
rester		250		100
sans		249		117
année		247		91
donc		243		95
exemple		242		94
déjà		241		107
premier		240		96
manger		240		60
côté		239		96
quel		238		100
ses		238		90
aux		237		92
beau		229		82
mieux		227		96
matin		223		82
que	(dans : ne... que)	219		86
ici		218		83
appeler		216		87
surtout		216		86
sortir		215		96
mes		215		71
huit		207		85
leur	(pronom personnel)	206		78
six		206		75
n'est-ce pas		206		62
évidemment		205		76
travailler		204		63
VRAI		202		83
peu	(adv.)	200		96
l'	(pronom la)	200		69
jusque		192		93
est-ce que		192		65
vieux		192		71
leur	(possessif)	191		78
avant		189		86
travail		189		76
seul	(ou seule)	184		78
histoire		184		66
seulement		183		94
mal	(adv.)	183		83
